genes	module
Bloc1s6	2
Blvra	1
Blvrb	1
Blzf1	0
Bmf	1
Bmi1	2
Bmp1	3
Bmp2k	0
Bmpr1a	2
Bmpr2	2
Bms1	3
Bmyc	4
Bnip1	0
Bnip2	5
Bnip3	6
Bnip3l	6
Bod1	9
Bod1l	3
Bola1	1
Bola2	0
Bola3	7
Bop1	1
Bora	5
Bpgm	3
Bphl	4
Bpnt1	2
Bptf	5
Braf	5
Brap	1
Brat1	1
Brca2	5
Brcc3	2
Brd1	3
Brd2	3
Brd3	3
Brd4	3
Brd7	3
Brd8	3
Brd9	1
Bre	4
Brf1	3
Brf2	4
Bri3	1
Bri3bp	7
Brip1os	6
Brix1	2
Brk1	7
Brms1	1
Brms1l	5
Brox	0
Brpf1	1
Brpf3	3
Brwd1	5
Brwd3	3
Bscl2	4
Bsdc1	3
Bsg	4
Bsn	1
Bst2	8
Btaf1	5
Btbd1	2
Btbd10	2
Btbd17	1
Btbd19	3
Btbd2	1
Btbd3	2
Btbd6	0
Btbd7	2
Btbd8	3
Btbd9	3
Btd	4
Btf3	7
Btf3l4	2
Btg1	2
Btg2	2
Btk	3
Btrc	0
Bub3	6
Bud13	3
Bud31	0
Bysl	4
Bzw1	2
Bzw2	0
C030006K11Rik	1
C030034I22Rik	0
C130046K22Rik	0
C130050O18Rik	0
C1d	2
C1galt1	2
C1galt1c1	2
C1qa	4
C1qb	4
C1qbp	4
C1qc	4
C1ra	4
C1rl	4
C230091D08Rik	5
C2cd2	0
C2cd2l	4
C2cd3	5
C2cd5	3
C3	8
C330006A16Rik	3
C330007P06Rik	2
C330013E15Rik	3
C330018D20Rik	5
C3ar1	6
C4b	8
C5ar1	6
C5ar2	3
C87436	4
C8g	0
C920021L13Rik	5
Caap1	5
Cab39	2
Cab39l	2
Cabin1	1
Cables1	1
Cables2	1
Cacfd1	0
Cacna1a	0
Cacna1d	5
Cacna1s	4
Cacnb2	0
Cacnb4	0
Cactin	1
Cacul1	2
Cacybp	9
Cad	0
Cadm1	6
Cahm	5
Calcoco1	1
Calcrl	2
Calhm2	4
Calm2	2
Calm3	4
Calr	6
Calu	6
Camk1	4
Camk1d	0
Camk2a	4
Camk2b	1
Camk2d	2
Camk2g	3
Camk2n1	0
Camkk1	1
Camkk2	3
Camkmt	2
Caml	6
Camsap1	3
Camsap2	5
Camta1	5
Camta2	3
Cand1	6
