genes	module
Blmh	7
Blnk	3
Bloc1s1	3
Bloc1s2	2
Bloc1s3	3
Bloc1s4	2
Bloc1s5	0
Bloc1s6	0
Blvra	3
Blvrb	3
Blzf1	8
Bmf	3
Bmi1	6
Bmp1	2
Bmp2k	8
Bmpr1a	1
Bmpr2	8
Bms1	2
Bmyc	3
Bnip1	0
Bnip2	2
Bnip3	1
Bnip3l	6
Bod1	0
Bod1l	2
Bola1	3
Bola2	2
Bola3	7
Bop1	3
Bora	2
Bpgm	0
Bphl	3
Bpnt1	1
Bptf	2
Braf	8
Brap	4
Brat1	4
Brca2	8
Brcc3	1
Brd1	2
Brd2	2
Brd3	2
Brd4	3
Brd7	2
Brd8	2
Brd9	2
Bre	0
Brf1	2
Brf2	3
Bri3	7
Bri3bp	3
Brip1os	6
Brix1	1
Brk1	1
Brms1	3
Brms1l	1
Brox	6
Brpf1	2
Brpf3	2
Brwd1	8
Bscl2	5
Bsdc1	3
Bsg	5
Bsn	2
Bst2	9
Btaf1	8
Btbd1	1
Btbd10	1
Btbd19	2
Btbd2	4
Btbd3	1
Btbd6	0
Btbd7	8
Btbd8	2
Btbd9	2
Btd	0
Btf3	7
Btf3l4	1
Btg1	1
Btg2	2
Btk	2
Btrc	2
Bub3	5
Bud13	4
Bud31	7
Bysl	0
Bzw1	1
Bzw2	3
C030006K11Rik	3
C030034I22Rik	2
C130046K22Rik	2
C130050O18Rik	0
C1d	1
C1galt1	1
C1galt1c1	1
C1qa	5
C1qb	3
C1qbp	3
C1qc	5
C1ra	4
C1rl	2
C230091D08Rik	9
C2cd2	3
C2cd2l	3
C2cd3	0
C2cd5	4
C330006A16Rik	2
C330007P06Rik	1
C330013E15Rik	2
C330018D20Rik	8
C3ar1	6
C4b	6
C5ar1	5
C5ar2	4
C87436	5
C8g	2
C920021L13Rik	8
Caap1	0
Cab39	1
Cab39l	1
Cabin1	4
Cables1	3
Cables2	3
Cacfd1	2
Cacna1a	0
Cacna1d	8
Cacna1s	5
Cacnb2	1
Cacnb4	0
Cactin	3
Cacul1	1
Cacybp	10
Cad	0
Cadm1	6
Cahm	2
Calcoco1	3
Calcrl	1
Calhm2	0
Calm2	7
Calm3	3
Calr	0
Calu	6
Camk1	0
Camk1d	4
Camk2a	0
Camk2b	3
Camk2d	1
Camk2g	2
Camk2n1	1
Camkk1	4
Camkk2	2
Camkmt	0
Caml	1
Camsap1	2
Camsap2	0
Camta1	8
Camta2	2
Cand1	6
Cand2	4
Cant1	3
Canx	1
Cap1	2
Capg	5
Capn1	3
Capn10	0
Capn15	4
Capn2	4
Capn3	3
Capn7	8
Capns1	3
Caprin1	6
Caprin2	0
Capza1	1
Capza2	1
Capzb	5
Car11	3
Card11	0
Card6	0
Card9	2
Carf	2
Carhsp1	3
Naxd	3
Carm1	4
Carns1	4
Cars	4
Cars2	2
Casc3	4
Casc4	1
Casd1	1
Cask	1
Casp1	0
Casp12	0
Casp2	1
Casp3	0
Casp4	0
Casp6	3
Casp7	0
Casp8	1
Casp8ap2	2
Casp9	6
Cass4	0
Cast	3
Casz1	3
Cat	5
Catip	2
Cav2	1
Cbfa2t2	1
Cbfa2t3	4
Cbfb	1
Cbl	8
Cblb	1
Cbll1	1
Cbr1	3
Cbr2	0
Cbr3	5
Cbr4	0
Cbwd1	1
Cbx1	2
Cbx3	2
Cbx4	4
Cbx5	1
Cbx6	0
Cbx7	2
Cbx8	2
Cby1	3
Cc2d1a	4
Cc2d1b	3
Ccar1	2
Ccar2	4
Kyat1	0
Kyat3	0
Sgf29	3
Ccdc102a	3
Ccdc106	2
Ccdc107	7
Ccdc112	10
Ccdc115	0
Ccdc117	10
Ccdc12	2
Ccdc122	9
Ccdc124	3
Ccdc126	1
Ccdc127	1
Ccdc130	3
Vps50	0
Ccdc134	2
Ccdc137	2
Ccdc138	0
Ccdc14	3
Ccdc142	2
Ccdc15	1
Ccdc157	0
Ccdc162	2
Ccdc163	2
Ccdc166	7
Ccdc167	2
Ccdc17	0
Ccdc171	8
Ccdc174	2
Ccdc181	4
Ccdc186	2
Ccdc22	4
Svbp	7
Ccdc25	1
Ccdc28a	2
Ccdc28b	2
Ccdc32	0
Ccdc34	9
Ccdc36	3
Ccdc43	1
Ccdc47	6
Ccdc50	1
Ccdc51	0
Ccdc53	7
Nsrp1	3
Ccdc57	2
Ccdc58	2
Ccdc59	0
Ccdc6	0
Ccdc61	3
Ccdc62	0
Ccdc64	2
Ccdc66	2
Ccdc71	2
Ccdc71l	1
Ccdc77	2
Ccdc82	8
Ccdc84	2
Ccdc85b	3
Ccdc86	4
Ccdc88a	7
Ccdc88b	3
Ccdc9	2
Ccdc90b	1
Ccdc91	3
Ccdc93	0
Ccdc94	3
Ccdc97	4
Ccl12	9
Ccl2	1
Ccl24	3
Ccl25	10
Ccl3	7
Ccl4	7
Ccl6	1
Ccl9	7
Ccm2	3
Ccna2	9
Ccnc	1
Ccnd1	3
Ccnd3	3
Ccndbp1	0
Ccnf	5
Ccng1	1
Ccng2	1
Ccnh	1
Ccni	6
Ccnj	2
Ccnk	2
Ccnl1	2
Ccnl2	2
Ccnt1	8
Ccnt2	8
Ccny	0
Ccnyl1	0
Ccp110	2
Ccpg1	5
Ccpg1os	3
Ccr1	2
Ccr1l1	0
Ccr3	0
Ccr5	1
Ccrl2	6
Ccs	3
Ccser2	1
Cct2	0
Cct3	3
Cct4	1
Cct5	3
Cct6a	6
Cct7	3
Cct8	0
Ccz1	1
Cd101	9
Cd14	5
Cd151	3
Cd164	1
Cd180	9
Cd1d1	0
Cd200r1	1
Cd200r4	5
Cd22	5
Cd244	9
Cd274	6
Cd276	0
Cd2ap	8
Cd2bp2	2
Cd300a	9
Cd300lb	3
Cd300lf	8
Cd302	1
Cd320	5
Cd33	1
Cd34	6
Cd37	5
Cd3eap	3
Cd47	1
Cd48	1
Cd52	9
Cd53	1
Cd63	9
Cd68	5
Cd72	1
Cd74	5
Cd79b	3
Cd80	6
Cd81	6
Cd82	5
Cd83	1
Cd84	1
Cd86	1
Cd9	6
Cd99l2	6
Cdadc1	2
Cdan1	2
Cdc123	7
Cdc14a	1
Cdc14b	0
Cdc16	5
Cdc20	5
Cdc23	4
Cdc25a	3
Cdc26	0
Cdc27	0
Cdc34	3
Cdc37	3
Cdc37l1	8
Cdc40	1
Cdc42	1
Cdc42bpa	2
Cdc42bpb	2
Cdc42ep1	5
Cdc42ep3	6
Cdc42ep4	5
Cdc42se1	3
Cdc42se2	6
Cdc45	1
Cdc5l	3
Cdc73	1
Cdca4	1
Cdca7	8
Cdca8	0
Cdh23	5
Cdip1	1
Cdipt	5
