genes	module
Batf2	7
Bax	2
Baz1a	1
Baz1b	4
Baz2a	4
Baz2b	1
Bbc3	2
Bbip1	5
Bbs1	0
Bbs10	0
Bbs12	4
Bbs2	0
Bbs4	4
Bbs5	0
Bbs7	0
Bbs9	4
Bbx	4
Bcap29	3
Bcap31	3
Bcas2	5
Bcas3	2
Bcat1	0
Bcat2	2
Bccip	3
Bcdin3d	2
Bckdha	2
Bckdhb	0
Bckdk	0
Bcl10	5
Bcl2	2
Bcl2a1a	9
Bcl2a1b	5
Bcl2a1c	9
Bcl2a1d	5
Bcl2l1	0
Bcl2l11	0
Bcl2l12	2
Bcl2l13	0
Bcl3	8
Bcl6	0
Bcl7a	4
Bcl7b	2
Bcl7c	5
Bcl9	0
Bcl9l	6
Bclaf1	4
Bco2	4
Bcor	6
Bcorl1	1
Bcr	4
Bcs1l	0
Bdp1	1
Becn1	0
Bend3	0
Bend5	4
Bend6	0
Best1	2
Bet1	3
Bet1l	5
Bfar	4
Bhlhb9	0
Bhlhe41	0
Bicd2	0
Bid	0
Bik	2
Bin1	6
Bin2	6
Bin3	0
Birc2	1
Birc3	1
Birc6	1
Bivm	3
Blcap	3
Blm	0
Blmh	3
Blnk	0
Bloc1s1	5
Bloc1s2	4
Bloc1s3	2
Bloc1s4	5
Bloc1s5	0
Bloc1s6	3
Blvra	2
Blvrb	2
Blzf1	0
Bmf	0
Bmi1	8
Bmp1	0
Bmp2k	1
Bmpr1a	3
Bmpr2	1
Bms1	4
Bmyc	2
Bnip1	5
Bnip2	4
Bnip3	3
Bnip3l	3
Bod1	0
Bod1l	4
Bola1	2
Bola2	5
Bola3	9
Bop1	6
Bora	1
Bpgm	0
Bphl	2
Bpnt1	1
Bptf	4
Braf	1
Brap	0
Brat1	0
Brca2	1
Brcc3	3
Brd1	4
Brd2	4
Brd3	2
Brd4	2
Brd7	4
Brd8	4
Brd9	4
Bre	0
Brf1	4
Brf2	2
Bri3	0
Bri3bp	5
Brip1os	5
Brix1	3
Brk1	3
Brms1	2
Brms1l	1
Brox	0
Brpf1	6
Brpf3	4
Brwd1	1
Brwd3	1
Bscl2	7
Bsdc1	4
Bsg	7
Bsn	6
Bst2	9
Btaf1	1
Btbd1	1
Btbd10	0
Btbd17	0
Btbd19	4
Btbd2	2
Btbd3	3
Btbd6	0
Btbd7	1
Btbd8	1
Btbd9	4
Btd	0
Btf3	5
Btf3l4	3
Btg1	3
Btg2	1
Btk	4
Btrc	0
Bub3	5
Bud13	0
Bud31	5
Bysl	8
Bzw1	3
Bzw2	2
C030006K11Rik	2
C030034I22Rik	1
C130046K22Rik	4
C130050O18Rik	0
C1d	3
C1galt1	1
C1galt1c1	3
C1qa	5
C1qb	2
C1qbp	2
C1qc	2
C1ra	0
C1rl	0
C230091D08Rik	1
C2cd2	0
C2cd2l	2
C2cd3	1
C2cd5	4
C330006A16Rik	0
C330007P06Rik	1
C330013E15Rik	4
C330018D20Rik	0
C3ar1	3
C4b	8
C5ar1	2
C5ar2	6
C87436	2
C8g	4
C920021L13Rik	1
Caap1	0
Cab39	3
Cab39l	1
Cabin1	6
Cables1	0
Cables2	4
Cacfd1	0
Cacna1a	0
Cacna1d	1
Cacna1s	8
Cacnb2	1
Cacnb4	1
Cactin	6
Cacul1	1
Cacybp	0
Cad	0
Cadm1	7
Cahm	1
Calcoco1	2
Calcrl	3
Calhm2	0
Calm2	5
Calm3	2
Calr	0
Calr3	0
Calu	3
Camk1	5
Camk1d	0
Camk2a	0
Camk2b	2
Camk2d	3
Camk2g	4
Camk2n1	0
Camkk1	0
Camkk2	6
Camkmt	0
Caml	5
Camsap1	4
Camsap2	1
Camta1	5
Camta2	6
Cand1	3
Cand2	0
Cant1	2
Canx	3
Cap1	4
Capg	7
Capn1	2
Capn10	4
Capn15	6
Capn2	2
Capn3	4
Capn7	1
Capns1	0
Caprin1	0
Caprin2	0
Capza1	3
Capza2	3
Capzb	2
Car11	0
Car7	0
Card11	0
Card6	0
Card9	4
Carf	1
Carhsp1	2
Naxd	2
Carm1	0
Carns1	0
Cars	6
Cars2	1
Casc3	6
Casc4	3
Casd1	3
Cask	0
Casp1	0
Casp12	0
Casp2	1
Casp3	5
Casp4	0
Casp6	2
Casp7	0
Casp8	0
Casp8ap2	1
Casp9	0
Cass4	0
Cast	0
Casz1	0
Cat	2
Catip	1
Cav1	8
Cav2	8
Cbfa2t2	1
Cbfa2t3	6
Cbfb	3
Cbl	1
Cblb	1
Cbll1	3
Cbr1	2
Cbr3	2
Cbr4	0
Cbwd1	3
Cbx1	4
Cbx3	0
Cbx4	2
Cbx5	1
Cbx6	2
Cbx7	4
Cbx8	0
Cby1	2
Cc2d1a	6
Cc2d1b	2
Cc2d2a	4
Ccar1	4
Ccar2	6
Kyat1	0
Kyat3	3
Sgf29	2
Ccdc102a	0
Ccdc106	4
Ccdc107	5
Ccdc112	0
Ccdc115	0
Ccdc117	0
Ccdc12	0
Ccdc122	8
Ccdc124	2
Ccdc125	4
Ccdc126	3
Ccdc127	3
Ccdc130	0
Vps50	0
Ccdc134	0
Ccdc137	4
Ccdc14	0
Ccdc142	4
Ccdc15	1
Ccdc157	0
Ccdc162	4
Ccdc163	4
Ccdc166	0
Ccdc167	4
Ccdc17	1
Ccdc171	1
Ccdc174	0
Ccdc181	4
Ccdc186	1
Ccdc22	2
Svbp	5
Ccdc25	3
Ccdc28a	0
Ccdc28b	2
Ccdc32	2
Ccdc34	0
Ccdc36	4
Ccdc43	3
Ccdc47	3
Ccdc50	1
Ccdc51	0
Ccdc53	0
Nsrp1	5
Ccdc57	4
Ccdc58	5
Ccdc59	0
Ccdc6	0
Ccdc61	4
Ccdc62	1
Ccdc64	4
Ccdc66	4
Ccdc69	0
Ccdc71	4
Ccdc71l	1
Ccdc77	4
Ccdc82	1
Ccdc84	4
Ccdc85b	6
Ccdc86	0
Ccdc88a	1
Ccdc88b	6
Ccdc9	6
Ccdc90b	3
Ccdc91	0
Ccdc93	1
Ccdc94	2
Ccdc97	6
Ccl12	8
Ccl2	8
Ccl24	2
Ccl25	1
Ccl3	8
Ccl4	8
Ccl6	9
Ccl9	5
Ccm2	2
Ccna2	0
Ccnc	3
Ccnd1	0
Ccnd3	2
Ccndbp1	2
Ccnf	0
Ccng1	3
Ccng2	3
Ccnh	3
Ccni	8
Ccnj	0
Ccnk	1
Ccnl1	4
Ccnl2	1
Ccnt1	1
Ccnt2	1
Ccny	0
Ccnyl1	1
Ccp110	1
Ccpg1	2
Ccpg1os	4
Ccr1	0
Ccr1l1	0
Ccr3	0
Ccr5	3
Ccr6	0
Ccrl2	7
Ccs	5
Ccser2	1
Cct2	2
Cct3	5
Cct4	5
Cct5	5
Cct6a	3
Cct7	5
Cct8	5
Ccz1	3
Cd101	7
Cd14	5
Cd151	2
Cd164	3
